,Danceability,Energy,Valence,Tempo,Song ID,Date Added
67,0.386,0.729,0.299,170.028,0HO3rv3FPHfMaHQCDKkdaI,2020-03-17
68,0.532,0.706,0.586,96.033,3aFGDuv8GHKHINfjRTn650,2020-03-13
69,0.774,0.554,0.349,99.034,22LAwLoDA5b4AaGSkg6bKW,2020-03-13
70,0.64,0.766,0.522,140.029,6iICrGejKjDOBA3DNXlb4b,2020-03-03
71,0.723,0.504,0.551,133.975,4IhKLu7Vk3j2TLmnFPl6To,2020-02-27
72,0.555,0.88,0.391,87.195,0FnxK9FEAQyPJ284QcieNb,2020-02-26
73,0.778,0.635,0.379,90.008,6Q4foUefrAyCt8VxJFML56,2020-02-23
74,0.621,0.873,0.873,97.96,5hM5arv9KDbCHS0k9uqwjr,2020-02-22
75,0.941,0.729,0.718,118.026,7FbKipScVxkjQxQXwTd0gL,2020-02-22
76,0.841,0.898,0.931,98.401,276zciJ7Fg7Jk6Ta6QuLkp,2020-02-21
77,0.57,0.65,0.174,96.767,2lRe5wBRm4xaSKTbDn2vLD,2020-02-21
78,0.507,0.606,0.202,180.607,4KXwFI9pgJLpUIAc9oSL8j,2020-02-20
79,0.848,0.745,0.516,137.024,1qwMkkRiD5jqLeUUjfgblh,2020-02-20
80,0.792,0.529,0.696,106.679,2bs0k9CoXSvGLky5ShiKYV,2020-02-19
81,0.839,0.81,0.814,129.014,1f5cbQtDrykjarZVrShaDI,2020-02-19
82,0.654,0.711,0.198,127.957,2DGa7iaidT5s0qnINlwMjJ,2020-02-18
83,0.584,0.711,0.338,100.257,0ijkEO0FxiNofOkQc6aNUo,2020-02-18
84,0.723,0.789,0.446,99.908,1aSd69BNiOKdT1AUJzsNhN,2020-02-18
85,0.67,0.668,0.608,88.033,0bMbDctzMmTyK2j74j3nF3,2020-02-18
86,0.517,0.677,0.192,173.978,4oeaIftdpT3JuZLcCkKmVE,2020-02-17
87,0.838,0.771,0.405,175.957,2DQ1ITjI0YoLFzuADN1ZBW,2020-02-16
88,0.803,0.759,0.284,104.0,0JjM9bKm4wrwohMslcm892,2020-02-13
89,0.47,0.809,0.49,151.836,52ojopYMUzeNcudsoz7O9D,2020-02-09
90,0.64,0.74,0.785,116.879,6K4t31amVTZDgR3sKmwUJJ,2020-02-09
91,0.602,0.881,0.577,125.012,2X485T9Z5Ly0xyaghN73ed,2020-02-09
92,0.581,0.662,0.434,93.023,1wJRveJZLSb1rjhnUHQiv6,2020-02-02
93,0.545,0.647,0.957,142.026,5FR54UnizyI8pE5E9Zb0Dt,2020-01-31
94,0.61,0.841,0.431,126.889,3AGOgQzp0YcPH41u9p7dOp,2020-01-31
95,0.785,0.431,0.236,127.085,4TnjEaWOeW0eKTKIEvJyCa,2020-01-28
96,0.483,0.667,0.64,96.028,4Gy6pnhY9GGE3nqD3d0CmU,2020-01-26
97,0.653,0.718,0.216,82.034,0OI7AFifLSoGzpb8bdBLLV,2020-01-20
